pub_link,pub_title,pub_date,auth_name,auth_link,id,auth_name_extract,text
https://pureportal.coventry.ac.uk/en/publications/corporate-hedging-and-the-cost-of-equity-capital,Corporate hedging and the cost of equity capital,2022,"Hany Ahmed, Yilmaz Guney","['https://pureportal.coventry.ac.uk/en/persons/hany-ahmed', 'https://pureportal.coventry.ac.uk/en/persons/yilmaz-guney']",10,hany ahmed yilmaz guney,corporate hedging and the cost of equity capital hany ahmed yilmaz guney 2022
https://pureportal.coventry.ac.uk/en/publications/corporate-social-responsibility-amp-firm-efficiency-evidence-from,Corporate Social Responsibility Firm Efficiency Evidence from Endogenous Cost Inefficiency Stochastic Frontier Analysis,1 may 2022,"Abay Mulatu, Boying Xu","['https://pureportal.coventry.ac.uk/en/persons/abay-mulatu', 'https://pureportal.coventry.ac.uk/en/persons/boying-xu']",11,abay mulatu boying xu,corporate social responsibility firm efficiency evidence from endogenous cost inefficiency stochastic frontier analysis abay mulatu boying xu 1 may 2022
https://pureportal.coventry.ac.uk/en/publications/corporate-social-responsibility-and-financial-performance-of-prod,Corporate Social Responsibility and Financial Performance of Product and Service-Based Firms Listed on London Stock Exchange,1 apr 2022,Ibrahim Elmghaamez,['https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez'],12,ibrahim elmghaamez,corporate social responsibility and financial performance of product and service-based firms listed on london stock exchange ibrahim elmghaamez 1 apr 2022
https://pureportal.coventry.ac.uk/en/publications/diffusion-theory-transnational-antecedents-and-international-stan,Diffusion theory transnational antecedents and International Standards on Auditing adoption around the world,apr 2022,Ibrahim Elmghaamez,['https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez'],13,ibrahim elmghaamez,diffusion theory transnational antecedents and international standards on auditing adoption around the world ibrahim elmghaamez apr 2022
https://pureportal.coventry.ac.uk/en/publications/dissecting-the-effect-of-family-business-exposure-on-entrepreneur,Dissecting the effect of family business exposure on entrepreneurial implementation intention,6 may 2022,Uchenna Tony-Okeke,['https://pureportal.coventry.ac.uk/en/persons/uchenna-tony-okeke'],14,uchenna tony okeke,dissecting the effect of family business exposure on entrepreneurial implementation intention uchenna tony okeke 6 may 2022
https://pureportal.coventry.ac.uk/en/publications/do-female-board-members-influence-corporate-social-responsibility,Do Female Board Members Influence Corporate Social Responsibility Performance?,jul 2022,Isaiah Oino,['https://pureportal.coventry.ac.uk/en/persons/isaiah-oino'],15,isaiah oino,do female board members influence corporate social responsibility performance? isaiah oino jul 2022
https://pureportal.coventry.ac.uk/en/publications/do-non-communicable-diseases-influence-sustainable-development-in,Do non-communicable diseases influence sustainable development in Sub-Saharan Africa A panel autoregressive distributive lag model approach,mar 2022,"Judith Kabajulizi, Francis Awuku Darko","['https://pureportal.coventry.ac.uk/en/persons/judith-kabajulizi', 'https://pureportal.coventry.ac.uk/en/persons/francis-darko']",16,judith kabajulizi francis awuku darko,do non-communicable diseases influence sustainable development in sub-saharan africa a panel autoregressive distributive lag model approach judith kabajulizi francis awuku darko mar 2022
https://pureportal.coventry.ac.uk/en/publications/editorial-new-developments-in-corporate-governance-research,Editorial New developments in corporate governance research,21 jun 2022,Loai Alsaid,['https://pureportal.coventry.ac.uk/en/persons/loai-alsaid'],17,loai alsaid,editorial new developments in corporate governance research loai alsaid 21 jun 2022
https://pureportal.coventry.ac.uk/en/publications/evolution-of-research-in-finance-over-the-last-two-decades-a-topo,Evolution of research in finance over the last two decades A topographical view,jan 2022,Rashedul Hasan,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'],18,rashedul hasan,evolution of research in finance over the last two decades a topographical view rashedul hasan jan 2022
https://pureportal.coventry.ac.uk/en/publications/financial-contagion-effects-of-major-crises-in-african-stock-mark,Financial contagion effects of major crises in African stock markets,jul 2022,"Jaliyyah Bello, Mohammad Khaleq Newaz","['https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello', 'https://pureportal.coventry.ac.uk/en/persons/mohammad-khaleq-newaz']",19,jaliyyah bello mohammad khaleq newaz,financial contagion effects of major crises in african stock markets jaliyyah bello mohammad khaleq newaz jul 2022
https://pureportal.coventry.ac.uk/en/publications/future-of-education-and-research-a-preliminary-thematic-analysis,Future of education and research a preliminary thematic analysis ,2 may 2022,Simon Huston,['https://pureportal.coventry.ac.uk/en/persons/simon-huston'],20,simon huston,future of education and research a preliminary thematic analysis  simon huston 2 may 2022
https://pureportal.coventry.ac.uk/en/publications/gender-diversity-and-financial-statement-fraud,Gender Diversity and Financial Statement Fraud,1 mar 2022,Mei Yu,['https://pureportal.coventry.ac.uk/en/persons/mei-yu'],21,mei yu,gender diversity and financial statement fraud mei yu 1 mar 2022
https://pureportal.coventry.ac.uk/en/publications/ifrs-8-and-the-cost-of-capital-in-europe,IFRS 8 and the cost of capital in Europe,19 jan 2022,Ahmed Saleh,['https://pureportal.coventry.ac.uk/en/persons/ahmed-saleh'],22,ahmed saleh,ifrs 8 and the cost of capital in europe ahmed saleh 19 jan 2022
https://pureportal.coventry.ac.uk/en/publications/interbank-liquidity-risk-transmission-to-large-emerging-markets-i,Interbank liquidity risk transmission to large emerging markets in crisis periods,jul 2022,"Alireza Zarei, Mehdi Hosseini","['https://pureportal.coventry.ac.uk/en/persons/alireza-zarei', 'https://pureportal.coventry.ac.uk/en/persons/mehdi-hosseini']",23,alireza zarei mehdi hosseini,interbank liquidity risk transmission to large emerging markets in crisis periods alireza zarei mehdi hosseini jul 2022
https://pureportal.coventry.ac.uk/en/publications/kuala-lumpur-from-a-tin-mining-settlement-to-a-neoliberal-strongh,Kuala Lumpur from a tin mining settlement to a neoliberal stronghold of Southeast Asia,22 feb 2022,Simon Huston,['https://pureportal.coventry.ac.uk/en/persons/simon-huston'],24,simon huston,kuala lumpur from a tin mining settlement to a neoliberal stronghold of southeast asia simon huston 22 feb 2022
https://pureportal.coventry.ac.uk/en/publications/measuring-the-impact-of-corporate-governance-on-non-financial-rep,Measuring the impact of corporate governance on non-financial reporting in the top HEIs worldwide,12 may 2022,Mehul Chhatbar,['https://pureportal.coventry.ac.uk/en/persons/mehul-chhatbar'],25,mehul chhatbar,measuring the impact of corporate governance on non-financial reporting in the top heis worldwide mehul chhatbar 12 may 2022
https://pureportal.coventry.ac.uk/en/publications/middle-eastern-extinctions-building-a-religious-motivation-for-sp,Middle Eastern Extinctions Building a Religious Motivation for Species Protection,30 may 2022,Tariq Al Montaser,['https://pureportal.coventry.ac.uk/en/persons/tariq-al-montaser'],26,tariq al montaser,middle eastern extinctions building a religious motivation for species protection tariq al montaser 30 may 2022
https://pureportal.coventry.ac.uk/en/publications/nonexecutive-employee-ownership-and-financial-reporting-quality-e,Non‑executive employee ownership and financial reporting quality evidence from Europe,22 apr 2022,Alaa Alhaj Ismail,['https://pureportal.coventry.ac.uk/en/persons/alaa-alhaj-ismail'],27,alaa alhaj ismail,non‑executive employee ownership and financial reporting quality evidence from europe alaa alhaj ismail 22 apr 2022
https://pureportal.coventry.ac.uk/en/publications/price-run-ups-and-insider-trading-laws-under-different-regulatory,Price run-ups and insider trading laws under different regulatory environments,aug 2022,"Styliani (Elina) Panetsidou, Angelos Synapis","['https://pureportal.coventry.ac.uk/en/persons/styliani-elina-panetsidou', 'https://pureportal.coventry.ac.uk/en/persons/angelos-synapis']",28,styliani  elina  panetsidou angelos synapis,price run-ups and insider trading laws under different regulatory environments styliani  elina  panetsidou angelos synapis aug 2022
https://pureportal.coventry.ac.uk/en/publications/smart-city-dynamics-and-multi-level-management-accounting-unfoldi,Smart city dynamics and multi-level management accounting unfolding a case of sustainable enterprise resource planning,3 jan 2022,Loai Alsaid,['https://pureportal.coventry.ac.uk/en/persons/loai-alsaid'],29,loai alsaid,smart city dynamics and multi-level management accounting unfolding a case of sustainable enterprise resource planning loai alsaid 3 jan 2022
https://pureportal.coventry.ac.uk/en/publications/socially-responsible-investment-sri-sukuk-as-a-financing-alternat,Socially responsible investment (SRI Sukuk as a financing alternative for post COVID-19 development project,19 apr 2022,Rashedul Hasan,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'],30,rashedul hasan,socially responsible investment (sri sukuk as a financing alternative for post covid-19 development project rashedul hasan 19 apr 2022
https://pureportal.coventry.ac.uk/en/publications/sustainability-accounting-and-reporting-an-ablative-reflexive-the,Sustainability accounting and reporting an ablative reflexive thematic analysis of climate crisis conservative or radical reform paradigms,2 jan 2022,Simon Huston,['https://pureportal.coventry.ac.uk/en/persons/simon-huston'],31,simon huston,sustainability accounting and reporting an ablative reflexive thematic analysis of climate crisis conservative or radical reform paradigms simon huston 2 jan 2022
https://pureportal.coventry.ac.uk/en/publications/sustainability-accounting-and-reporting-technical-summary,Sustainability accounting and reporting Technical summary,30 may 2022,Simon Huston,['https://pureportal.coventry.ac.uk/en/persons/simon-huston'],32,simon huston,sustainability accounting and reporting technical summary simon huston 30 may 2022
https://pureportal.coventry.ac.uk/en/publications/the-diffusion-of-innovation-theory-and-the-effects-of-ifrs-adopti,The diffusion of innovation theory and the effects of IFRS adoption by multinational corporations on capital market performance a cross-country analysis,1 jan 2022,Ibrahim Elmghaamez,['https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez'],33,ibrahim elmghaamez,the diffusion of innovation theory and the effects of ifrs adoption by multinational corporations on capital market performance a cross-country analysis ibrahim elmghaamez 1 jan 2022
https://pureportal.coventry.ac.uk/en/publications/the-nexus-between-environmental-and-financial-performance-evidenc,The nexus between environmental and financial performance Evidence from gulf cooperative council banks,31 mar 2022,Rashedul Hasan,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'],34,rashedul hasan,the nexus between environmental and financial performance evidence from gulf cooperative council banks rashedul hasan 31 mar 2022
https://pureportal.coventry.ac.uk/en/publications/the-relative-effectiveness-of-rampd-tax-credits-and-rampd-subsidi,The relative effectiveness of R&D tax credits and R&D subsidies A comparative Meta-Regression Analysis,jul 2022,Mehtap Hisarciklilar,['https://pureportal.coventry.ac.uk/en/persons/mehtap-hisarciklilar'],35,mehtap hisarciklilar,the relative effectiveness of r&d tax credits and r&d subsidies a comparative meta-regression analysis mehtap hisarciklilar jul 2022
https://pureportal.coventry.ac.uk/en/publications/the-rise-and-fall-of-institutional-entrepreneurship-in-islamic-fi,The rise and fall of institutional entrepreneurship in Islamic financial reporting standardisation projects,10 apr 2022,Ahmad Abras,['https://pureportal.coventry.ac.uk/en/persons/ahmad-abras'],36,ahmad abras,the rise and fall of institutional entrepreneurship in islamic financial reporting standardisation projects ahmad abras 10 apr 2022
https://pureportal.coventry.ac.uk/en/publications/tourism-and-exports-the-case-of-singapore,Tourism And Exports The Case of Singapore,18 may 2022,Dimitris Serenis,['https://pureportal.coventry.ac.uk/en/persons/dimitris-serenis'],37,dimitris serenis,tourism and exports the case of singapore dimitris serenis 18 may 2022
https://pureportal.coventry.ac.uk/en/publications/unveiling-the-black-swan-of-the-financegrowth-nexus-assumptions-a,Unveiling the black swan of the finance‐growth Nexus Assumptions and preliminary evidence of virtuous and unvirtuous cycles,12 apr 2022,"Eliana Lauretta, Daniel Santamaria","['https://pureportal.coventry.ac.uk/en/persons/eliana-lauretta', 'https://pureportal.coventry.ac.uk/en/persons/daniel-santamaria']",38,eliana lauretta daniel santamaria,unveiling the black swan of the finance‐growth nexus assumptions and preliminary evidence of virtuous and unvirtuous cycles eliana lauretta daniel santamaria 12 apr 2022
https://pureportal.coventry.ac.uk/en/publications/why-do-sukuks-islamic-bonds-need-a-different-pricing-model,Why do Sukuks (Islamic Bonds need a different pricing model?,apr 2022,Sarkar Kabir,['https://pureportal.coventry.ac.uk/en/persons/sarkar-kabir'],39,sarkar kabir,why do sukuks (islamic bonds need a different pricing model? sarkar kabir apr 2022
https://pureportal.coventry.ac.uk/en/publications/a-global-analysis-of-private-investments-in-public-equity-2,A global analysis of Private Investments in Public Equity,aug 2021,Styliani Panetsidou,['https://pureportal.coventry.ac.uk/en/persons/styliani-elina-panetsidou'],40,styliani panetsidou,a global analysis of private investments in public equity styliani panetsidou aug 2021
https://pureportal.coventry.ac.uk/en/publications/a-historical-institutionalist-perspective-on-the-persistence-of-s,A Historical Institutionalist Perspective on the Persistence of State Controls during Financial Sector Reforms The Insightful Case of Myanmar,26 jan 2021,Sandar Win,['https://pureportal.coventry.ac.uk/en/persons/sandar-win'],41,sandar win,a historical institutionalist perspective on the persistence of state controls during financial sector reforms the insightful case of myanmar sandar win 26 jan 2021
https://pureportal.coventry.ac.uk/en/publications/an-appraisal-of-turkeys-voluntary-individual-pension-system-from-,An appraisal of Turkey's voluntary individual pension system from a perspective of pension equality,sep 2021,Mehtap Hisarciklilar,['https://pureportal.coventry.ac.uk/en/persons/mehtap-hisarciklilar'],42,mehtap hisarciklilar,an appraisal of turkey's voluntary individual pension system from a perspective of pension equality mehtap hisarciklilar sep 2021
https://pureportal.coventry.ac.uk/en/publications/a-novel-method-for-measuring-the-timing-website-reconstructions,A Novel Method for Measuring the Timing Website Reconstructions,2021,Tariq Al Montaser,['https://pureportal.coventry.ac.uk/en/persons/tariq-al-montaser'],43,tariq al montaser,a novel method for measuring the timing website reconstructions tariq al montaser 2021
https://pureportal.coventry.ac.uk/en/publications/audit-committee-and-audit-quality-an-empirical-analysis-consideri,Audit Committee and Audit Quality An Empirical Analysis Considering Industry Expertise Legal Expertise and Gender Diversity,mar 2021,Salem Alhababsah,['https://pureportal.coventry.ac.uk/en/persons/salem-alhababsah'],44,salem alhababsah,audit committee and audit quality an empirical analysis considering industry expertise legal expertise and gender diversity salem alhababsah mar 2021
https://pureportal.coventry.ac.uk/en/publications/bank-solvency-the-role-of-credit-and-liquidity-risks-regulatory-c,Bank solvency The role of credit and liquidity risks regulatory capital and economic stability,22 nov 2021,Isaiah Oino,['https://pureportal.coventry.ac.uk/en/persons/isaiah-oino'],45,isaiah oino,bank solvency the role of credit and liquidity risks regulatory capital and economic stability isaiah oino 22 nov 2021
https://pureportal.coventry.ac.uk/en/publications/can-citizen-science-increase-trust-in-research-a-case-study-of-de,Can Citizen Science Increase Trust in Research A Case Study of Delineating Polish Metropolitan Areas,17 may 2021,Piotr Lis,['https://pureportal.coventry.ac.uk/en/persons/piotr-lis'],46,piotr lis,can citizen science increase trust in research a case study of delineating polish metropolitan areas piotr lis 17 may 2021
https://pureportal.coventry.ac.uk/en/publications/can-databases-facilitate-accountability-the-case-of-australian-me,Can Databases Facilitate Accountability The Case of Australian Mercury Accounting via the National Pollutant Inventory,8 jan 2021,Hafij Ullah,['https://pureportal.coventry.ac.uk/en/persons/hafij-ullah'],47,hafij ullah,can databases facilitate accountability the case of australian mercury accounting via the national pollutant inventory hafij ullah 8 jan 2021
https://pureportal.coventry.ac.uk/en/publications/carbon-emissions-and-firm-performance-evidence-from-financial-and,Carbon emissions and firm performance evidence from financial and non-financial firms from selected emerging economies,30 nov 2021,Rashedul Hasan,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'],48,rashedul hasan,carbon emissions and firm performance evidence from financial and non-financial firms from selected emerging economies rashedul hasan 30 nov 2021
https://pureportal.coventry.ac.uk/en/publications/corporate-adoption-of-sdg-reporting-in-a-non-enabling-institution,Corporate adoption of SDG reporting in a non-enabling institutional environment Insights from Libyan oil industries,dec 2021,Tariq Al Montaser,['https://pureportal.coventry.ac.uk/en/persons/tariq-al-montaser'],49,tariq al montaser,corporate adoption of sdg reporting in a non-enabling institutional environment insights from libyan oil industries tariq al montaser dec 2021
https://pureportal.coventry.ac.uk/en/publications/corporate-board-for-innovative-managerial-control-implications-of,Corporate board for innovative managerial control implications of corporate governance deviance perspective,8 jun 2021,Rashedul Hasan,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'],50,rashedul hasan,corporate board for innovative managerial control implications of corporate governance deviance perspective rashedul hasan 8 jun 2021
https://pureportal.coventry.ac.uk/en/publications/corporate-environmental-accountability-practices-in-nigeria-an-ex,Corporate environmental accountability in Nigeria An example of regulatory failure and regulatory capture,26 jan 2021,Abdurafiu Noah,['https://pureportal.coventry.ac.uk/en/persons/abdurafiu-noah'],51,abdurafiu noah,corporate environmental accountability in nigeria an example of regulatory failure and regulatory capture abdurafiu noah 26 jan 2021
https://pureportal.coventry.ac.uk/en/publications/corporate-governance-and-financial-performance-of-firms-listed-on,Corporate Governance and Financial Performance of Firms Listed on Asian Pacific Stocks Evidence from Malaysia Thailand and Singapore,18 sep 2021,Ibrahim Elmghaamez,['https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez'],52,ibrahim elmghaamez,corporate governance and financial performance of firms listed on asian pacific stocks evidence from malaysia thailand and singapore ibrahim elmghaamez 18 sep 2021
https://pureportal.coventry.ac.uk/en/publications/corruption-and-bank-efficiency-expanding-the-sand-or-grease-the-w,Corruption and bank efficiency Expanding the ‘sand or grease the wheel hypothesis for the Gulf Cooperation Council,10 aug 2021,Rashedul Hasan,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'],53,rashedul hasan,corruption and bank efficiency expanding the ‘sand or grease the wheel hypothesis for the gulf cooperation council rashedul hasan 10 aug 2021
https://pureportal.coventry.ac.uk/en/publications/corruption-and-its-diverse-effect-on-credit-risk-global-evidence,Corruption and its diverse effect on credit risk global evidence,21 apr 2021,Rashedul Hasan,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'],54,rashedul hasan,corruption and its diverse effect on credit risk global evidence rashedul hasan 21 apr 2021
https://pureportal.coventry.ac.uk/en/publications/does-shared-tenure-between-audit-committee-chair-and-engagement-p,Does shared tenure between audit committee chair and engagement partner affect audit outcomes Evidence from the UK,8 nov 2021,"Salem Alhababsah, Alaa Alhaj Ismail","['https://pureportal.coventry.ac.uk/en/persons/salem-alhababsah', 'https://pureportal.coventry.ac.uk/en/persons/alaa-alhaj-ismail']",55,salem alhababsah alaa alhaj ismail,does shared tenure between audit committee chair and engagement partner affect audit outcomes evidence from the uk salem alhababsah alaa alhaj ismail 8 nov 2021
https://pureportal.coventry.ac.uk/en/publications/do-islamic-stock-indices-perform-better-than-their-conventional-c,Do Islamic Stock Indices Perform Better Than Their Conventional Counterparts?,2021,Sarkar Kabir,['https://pureportal.coventry.ac.uk/en/persons/sarkar-kabir'],56,sarkar kabir,do islamic stock indices perform better than their conventional counterparts? sarkar kabir 2021
https://pureportal.coventry.ac.uk/en/publications/drifts-in-governance-evidence-from-the-management-of-covid-19-in-,Drifts in Governance Evidence from the management of COVID-19 in China,2021,Junyuan Chen,['https://pureportal.coventry.ac.uk/en/persons/junyuan-chen'],57,junyuan chen,drifts in governance evidence from the management of covid-19 in china junyuan chen 2021
https://pureportal.coventry.ac.uk/en/publications/equity-return-predictability-its-determinants-and-profitable-trad,Equity return predictability its determinants and profitable trading strategies,jan 2021,Mahbub Khan,['https://pureportal.coventry.ac.uk/en/persons/mahbub-khan'],58,mahbub khan,equity return predictability its determinants and profitable trading strategies mahbub khan jan 2021
https://pureportal.coventry.ac.uk/en/publications/esg-practices-and-the-cost-of-debt-evidence-from-eu-countries,ESG practices and the cost of debt Evidence from EU countries,sep 2021,Ahmed Saleh,['https://pureportal.coventry.ac.uk/en/persons/ahmed-saleh'],59,ahmed saleh,esg practices and the cost of debt evidence from eu countries ahmed saleh sep 2021
https://pureportal.coventry.ac.uk/en/publications/evaluating-drivers-of-fintech-adoption-in-the-netherlands,Evaluating Drivers of Fintech Adoption in the Netherlands,30 aug 2021,Rashedul Hasan,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'],60,rashedul hasan,evaluating drivers of fintech adoption in the netherlands rashedul hasan 30 aug 2021
https://pureportal.coventry.ac.uk/en/publications/financial-inclusion,Financial Inclusion,2021,Nikhil Sapre,['https://pureportal.coventry.ac.uk/en/persons/nikhil-sapre'],61,nikhil sapre,financial inclusion nikhil sapre 2021
https://pureportal.coventry.ac.uk/en/publications/financial-inclusion-corporate-social-responsibility-and-firm-perf,Financial inclusion corporate social responsibility and firm performance analysis of interactive relationship,30 nov 2021,Mahbub Khan,['https://pureportal.coventry.ac.uk/en/persons/mahbub-khan'],62,mahbub khan,financial inclusion corporate social responsibility and firm performance analysis of interactive relationship mahbub khan 30 nov 2021
https://pureportal.coventry.ac.uk/en/publications/finding-our-place-in-the-world-with-the-sustainable-development-g,Finding our place in the world with the Sustainable Development Goals,18 feb 2021,"Jaliyyah Bello, Luda Ruddock","['https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello', 'https://pureportal.coventry.ac.uk/en/persons/luda-ruddock']",63,jaliyyah bello luda ruddock,finding our place in the world with the sustainable development goals jaliyyah bello luda ruddock 18 feb 2021
https://pureportal.coventry.ac.uk/en/publications/foreign-ownership-and-productivity-in-chinese-newly-listed-firms-,Foreign Ownership and Productivity in Chinese Newly Listed Firms The Moderating Roles of Founder’s Human Capital and Social Ties,26 feb 2021,Sailesh Tanna,['https://pureportal.coventry.ac.uk/en/persons/sailesh-tanna'],64,sailesh tanna,foreign ownership and productivity in chinese newly listed firms the moderating roles of founder’s human capital and social ties sailesh tanna 26 feb 2021
https://pureportal.coventry.ac.uk/en/publications/french-indochina-war-reflections-for-strategic-resilience,French Indochina War Reflections for strategic resilience,7 aug 2021,Simon Huston,['https://pureportal.coventry.ac.uk/en/persons/simon-huston'],65,simon huston,french indochina war reflections for strategic resilience simon huston 7 aug 2021
https://pureportal.coventry.ac.uk/en/publications/government-accounting-reforms-in-sub-saharan-african-countries-an-2,Government accounting reforms in Sub-Saharan African countries and the selective ignorance of the epistemic community A competing logics perspective,jul 2021,Abdurafiu Noah,['https://pureportal.coventry.ac.uk/en/persons/abdurafiu-noah'],66,abdurafiu noah,government accounting reforms in sub-saharan african countries and the selective ignorance of the epistemic community a competing logics perspective abdurafiu noah jul 2021
https://pureportal.coventry.ac.uk/en/publications/impact-of-maoism-on-the-urban-form-and-structure-of-cities-in-mai,Impact of Maoism on the urban form and structure of cities in mainland China,7 may 2021,Simon Huston,['https://pureportal.coventry.ac.uk/en/persons/simon-huston'],67,simon huston,impact of maoism on the urban form and structure of cities in mainland china simon huston 7 may 2021
https://pureportal.coventry.ac.uk/en/publications/internal-corporate-governance-mechanisms-and-financial-performanc,Internal corporate governance mechanisms and financial performance evidence from the UKs top FTSE 100 listed companies,2 apr 2021,Ibrahim Elmghaamez,['https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez'],68,ibrahim elmghaamez,internal corporate governance mechanisms and financial performance evidence from the uks top ftse 100 listed companies ibrahim elmghaamez 2 apr 2021
https://pureportal.coventry.ac.uk/en/publications/islamic-microfinance-a-bibliometric-review,Islamic microfinance A bibliometric review,aug 2021,Rashedul Hasan,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan'],69,rashedul hasan,islamic microfinance a bibliometric review rashedul hasan aug 2021
https://pureportal.coventry.ac.uk/en/publications/liquidity-and-short-run-predictability-evidence-from-internationa,Liquidity and Short-Run Predictability Evidence from International Stock Markets  ,nov 2021,"Jin Suk Park, Mohammad Khaleq Newaz","['https://pureportal.coventry.ac.uk/en/persons/jin-suk-park', 'https://pureportal.coventry.ac.uk/en/persons/mohammad-khaleq-newaz']",70,jin suk park mohammad khaleq newaz,liquidity and short-run predictability evidence from international stock markets   jin suk park mohammad khaleq newaz nov 2021
https://pureportal.coventry.ac.uk/en/publications/military-expenditure-economic-growth-nexus-in-jordan-an-applicati,Military Expenditure Economic Growth Nexus in Jordan An Application of ARDL Bound Test Analysis in the Presence of Breaks,3 oct 2021,Sandar Win,['https://pureportal.coventry.ac.uk/en/persons/sandar-win'],71,sandar win,military expenditure economic growth nexus in jordan an application of ardl bound test analysis in the presence of breaks sandar win 3 oct 2021
