text,id
corrupt divers effect credit risk global evid rashedul hasan 21 apr 2021,65
csr implic disclosur higher educ uncov point result systemat literatur review agenda futur research  7 jan 2021,66
share tenur audit committe chair engag partner affect audit outcom evid uk salem alhababsah alaa alhaj ismail 8 nov 2021,67
islam stock indic perform better convent counterpart sarkar kabir 2021,68
drift govern evid manag covid19 china junyuan chen 2021,69
equiti return predict determin profit trade strategi mahbub khan jan 2021,70
esg practic cost debt evid eu countri ahmed saleh sep 2021,71
evalu driver fintech adopt netherland rashedul hasan 30 aug 2021,72
financi decis market perform chines merger acquisit christopher muganhu 25 aug 2021,73
financi inclus nikhil sapre 2021,74
financi inclus corpor social respons firm perform analysi interact relationship mahbub khan 30 nov 2021,75
find place world sustain develop goal jaliyyah bello luda ruddock 18 feb 2021,76
fintech frontier quantum comput fractal blockchain distribut ledger paradigm shift open innov  7 jan 2021,77
firm cash manag adjust cost impact firm speed adjustmenta cross countri analysi  jan 2021,78
foreign ownership product chines newli list firm moder role founder human capit social tie sailesh tanna 26 feb 2021,79
french indochina war reflect strateg resili simon huston huston  s  huston  s  7 aug 2021,80
global trend board divers research bibliometr view andrews owusu 23 nov 2021,81
govern account reform subsaharan african countri select ignor epistem commun compet logic perspect abdurafiu noah jul 2021,82
growth effect remitt case turkey diaspora  12 feb 2021,83
impact maoism urban form structur citi mainland china simon huston 7 may 2021,84
intern corpor govern mechan financi perform evid uk top ftse 100 list compani ibrahim elmghaamez 2 apr 2021,85
islam microfin bibliometr review rashedul hasan aug 2021,86
liquid shortrun predict evid intern stock market jin suk park mohammad khaleq newaz nov 2021,87
mandatori esg report xbrl taxonomi combin esg rate incom statement sustain valuead disclosur  9 aug 2021,88
militari expenditur econom growth nexu jordan applic ardl bound test analysi presenc break sandar win 3 oct 2021,89
model asymmetr price respons industri energi demand dynam hierarch model akin sharimakin jun 2021,90
monitor exchang rate instabl 12 select islam economi alireza zarei sep 2021,91
onlin bank itali widiba bank case studi pestl dea analysi  30 mar 2021,92
perform measur smart citi govern case studi egyptian citi council loai alsaid 2021,93
probabl merger acquisit deal failur sailesh tanna sailesh tanna 21 jan 2021,94
reason behind worldwid divers ident issuanc good govern code ibrahim elmghaamez jun 2021,95
regulatori capit implic credit creation profit isaiah oino 2021,96
revisit expect util theori consumpt capm nikhil sapre 2021,97
role public auditor fraud detect critic review umut turksen 18 jan 2021,98
sovereign wealth fund corpor social respons comparison norway govern pension fund global abu dhabi fund develop rashedul hasan 28 jul 2021,99
stakehold power organis trust repair case bbc abdurafiu noah 27 may 2021,100
statystyczna analiza skutków sub dezurbanizacji w polsc efekt przynależności piotr lis 2021,101
studium delimitacji miejskich obszarów funkcjonalnych zapomocą metod statystycznych piotr lis 2021,102
sukuk bond puzzl analysi characterist match portfolio sarkar kabir sarkar kabir 2021,103
test dividend lifecycl theori islam convent bank sector gcc countri sailesh tanna 4 mar 2021,104
effect institut fdigrowth nexu matter sailesh tanna 28 sep 2021,105
impact religios earn qualiti intern evid bank sector masud ibrahim nov 2021,106
influenc institut pressur implement perform measur system egyptian social enterpris loai alsaid 22 jan 2021,107
predict strength mb yield spread asset bubbl  jan 2021,108
relationship corpor govern firm financi perform empir investig emerg market  2021,109
role cultur adopt intern standard audit develop countri institut perspect  15 jan 2021,110
toward understand hr function relat account function simon horsman 13 jan 2021,111
trade win trade war percept knowledg free trade debat piotr lis jul 2021,112
türkiy i̇nşaat sanayii çalışma standartlarının sektörel gelişim üzerinden değerlendirilmesi mehtap hisarciklilar 14 mar 2021,113
understand public sentiment relat african continent free trade agreement olubunmi ajala 1 jul 2021,114
znaczeni metod statystycznych dla potrzeb delimitacji miejskich obszarów funkcjonalnych spojrzeni ekonomisti piotr lis 2021,115
academ letter french indochina war metaphor strateg insight simon huston huston  s  huston  s  28 dec 2020,116
account smart citi new evid government polit loai alsaid 9 apr 2020,117
econom analysi ransomwar welfar consequ  4 mar 2020,118
automat robust estim exponenti smooth perspect statist machin learn  1 dec 2020,119
bath facil health phronesi tackl english obes simon huston simon huston 4 jun 2020,120
bath facil health phronesi preliminari english investig simon huston 10 jun 2020,121
big data analys new technolog applic sport manag overview  15 may 2020,122
big datadriven budget busi plan  30 sep 2020,123
calcul rel import condit attribut base characterist decis rule attribut reduct applic crowdfund thang nguyen thang nguyen 16 oct 2020,124
case studi shariah govern practic bangladesh hafij ullah 31 may 2020,125
case studi shariah govern practic unit kingdom europ samir alamad apr 2020,126
cashflow news discount rate news oil price  2020,127
coronaviru fraud risk use term scam  10 jun 2020,128
corpor polit strategi weak institut environ break convent daniel aghanya feb 2020,129
determin capit flight new panel evid subsaharan africa ssa alloysius egbulonu 30 dec 2020,130
corpor govern complianc impact auditor select qualiti evid ftse 350 ibrahim elmghaamez 1 sep 2020,131
digit system new challeng financi manag fintech xbrl blockchain cryptocurr  feb 2020,132
disast manag digit financi resourc key factor keep organ ongo  26 aug 2020,133
market open mitig impact cultur examin intern momentum profit postearningsannounc drift phil holm minor revis  2020,134
lockdown test help curb covid19 transmiss olubunmi ajala 4 may 2020,135
earn manag sharefinanc acquir prior deal announc role financi expertis tenur reput thai nguyen feb 2020,136
effect director network acquir firm earn manag prior thai nguyen thang nguyen 28 jan 2020,137
eurasian busi perspect proceed 28th eurasia busi econom societi confer uchenna tony okeke 28 jun 2020,138
eurasian econom perspect proceed 28th eurasia busi econom societi confer uchenna tony okeke 28 jun 2020,139
explor prospect islam home financ uk evid industri practition perspect sarkar kabir sarkar kabir 2020,140
fair valu account valu relev equiti book valu net incom european financi firm crisi alaa alhaj ismail jun 2020,141
financi contagion coreperipheri interbank network sailesh tanna sailesh tanna 3 mar 2020,142
financi market consequ earli adopt intern standard audit intern evid ibrahim elmghaamez 21 jul 2020,143
forecast valueatrisk cryptocurr riskmetr type model  dec 2020,144
fraudul financi report risk assess extern auditor percept versu tradit fraud triangl theori  23 jun 2020,145
could extern auditor incorpor manag motiv risk fraud risk assess process  1 jun 2020,146
green green bank invest bangladesh paradox green bank practic hafij ullah ullah  h  2020,147
integr report higher educ insight scotland northern ireland wale  15 apr 2020,148
investor sentiment invest equiti crowdfund thang nguyen 2020,149
corpor hedg alway benefici theoret empir analysi hany ahmed yilmaz guney yilmaz guney 2020,150
herd spuriou intent evid analyst recommend revis sentiment  oct 2020,151
market financi instrument direct mifid stock price inform liquid daniel aghanya apr 2020,152
market price bank ma effici europ sailesh tanna 21 aug 2020,153
measur monitor sustain list european footbal club valuead report perspect daniel range 25 nov 2020,154
provid enabl environ promot sustain develop goal coventri univers experi jaliyyah bello 7 sep 2020,155
reflect ontolog mytholog creativ sandar win jul 2020,156
risk govern cybercrim hierarch regress approach abdurafiu noah 28 may 2020,157
sharehold control right famili ownership firm leverag decis  nov 2020,158
shariah complianc matter financi perform hafij ullah 22 jan 2020,159
sustain integr suppli chain manag systemat literatur review  1 jun 2020,160
system financi risk indic securitis asset agentbas framework eliana lauretta 1 jan 2020,161
tackl big data black swan fractal approach quantum technolog  15 may 2020,162
effect coloni legaci africa inward fdi case uk fdi ghana maktoba omar 22 may 2020,163
effect say pay ceo compens spillov effect corpor cash hold evid australia  dec 2020,164
fiscal regim uk shale ga analys impact pad allow shale ga invest elijah acquah andoh andrews owusu elijah acquah andoh andrews owusu nov 2020,165
impact profitshar invest account sharehold wealth ken baldwin nov 2020,166
impact regul complianc cost risktak report qualiti eu bank daniel aghanya 1 mar 2020,167
long run relationship fish product marin trade balanc foreign direct invest empir studi omani economi alloysius egbulonu 4 nov 2020,168
rise onlin bank itali widiba bank case studi  30 jun 2020,169
role ai human organis decisionmak process within manufactur sector wale faisal shahzad 9 jun 2020,170
role risk manag audit ebusi  18 dec 2020,171
explain momentum evid decomposit peng li youwei li minor revis  2020,172
polit economi literatur tell us blockad sanction piotr lis mansoob murshed 30 sep 2020,173
firm prefer islam debt analysi evid global sukuk bond issu firm sarkar kabir sarkar kabir sep 2020,174
sustain educ practic univers develop countri context hafij ullah ullah  h  2020,175
account blockchain technolog doubleentri tripleentri  1 may 2019,176
account inform system erp uae assess current futur challeng handl big data  28 aug 2019,177
account inform system system system assess secur attack surfac methodolog pythagoras petratos 28 aug 2019,178
empir review longterm impact rd expenditur capit accumul gdp per capita ejike udeogu 2019,179
arbitrag equilibria larg game mani commod  jun 2019,180
structur model alpha capit adequaci ratio islam bank kenneth baldwin may 2019,181
board composit insur firm perform evid emerg market sarkar kabir 2019,182
board director compani perform ghana andrews owusu 2019,183
bottomup sentiment return predict market portfolio  jun 2019,184
coalb methan develop indonesia design econom analysi upstream petroleum fiscal polici elijah acquah andoh andrews owusu andrews owusu aug 2019,185
common liquid across option stock futur market  28 jan 2019,186
common risk factor return sukuk invest sarkar kabir 2019,187
compet institut logic institut embedded actor islam financi report standardis compar studi ahmad abras 2019,188
complianc mercuri report provis minamata convent assess develop countri perspect hafij ullah 2019,189
corpor environment account nigeria role local commun abdurafiu noah 25 nov 2019,190
corpor environment account nigeria role local commun abdurafiu noah 11 sep 2019,191
corpor govern busi growth evid china christopher muganhu 2019,192
corpor govern dynam qualiti bank insur board empir studi base global data sarkar kabir 2019,193
corpor govern ghana analysi board account ghanaian list bank mei yu 13 may 2019,194
corpor social respons consum percept uk apparel compani mei yu 2019,195
csrconsumpt paradox examin uk apparel compani mei yu 11 mar 2019,196
cyberattack critic infrastructur econom perspect piotr lis piotr lis jun 2019,197
data inform flow assess thread opportun ensur privaci invest return  28 aug 2019,198
discharg environment account emerg economi illustr nigerian cement industri abdurafiu noah 12 may 2019,199
compens consult drive ceo pay evid uk public firm graham sadler 2019,200
cultur sentiment cognit disson explain suspicion anomali  nov 2019,201
disclosur transpar affect bank financi perform isaiah oino 2 dec 2019,202
account treatment sharebas payment impact perform measur bank alaa alhaj ismail dec 2019,203
corpor rd invest affect firm environment perform evid g6 countri  1 feb 2019,204
entrepreneuri intent induct undergradu busi cours comparison two higher educ institut uk  14 nov 2019,205
essenti person financ practic guid employe lien luu 11 jan 2019,206
familycontrol financi institut institut perspect servic qualiti manag abdurafiu noah 11 jul 2019,207
financi account text case  1 jan 2019,208
forecast govern bond spread heurist model evid eurozon peripheri  nov 2019,209
human capit export microlevel analysi transit countri mehtap hisarciklilar mehtap hisarciklilar 3 oct 2019,210
ict financi sector develop financi access  jun 2019,211
impuls balanc frame effect threshold public good game  1 oct 2019,212
integr cloud financi account cycl artifici intellig blockchain xbrl chang account fiscal audit practic  28 aug 2019,213
invest prevent pay recoveri attitud cyber risk  23 oct 2019,214
languag fraud fail victim  1 may 2019,215
learn dispositif emot attach preliminari intern investig simon huston simon huston 23 nov 2019,216
loan qualiti cost effici corpor earn islam bank sarkar kabir 2019,217
majoritarian prefer utilitarian welfar public inform cournot oligopoli randy silvers jul 2019,218
measur energi input substitut output effect energi price chang implic environ akin sharimakin 1 oct 2019,219
merger acquisit implic acquir market risk sailesh tanna sailesh tanna 8 apr 2019,220
multi academi trust england scenario cooper univers r m  ayoubi 7 may 2019,221
new approach assess csr sustain disclosur insight updat webbas data tariq al montaser 9 apr 2019,222
polit ideolog ngo account case syrian conflict ahmad abras 2019,223
psychopath trait corpor leadership predictor futur stock return  nov 2019,224
ransomwar reput  10 jun 2019,225
real exchang rate asymmetr shock west african monetari zone wamz  mar 2019,226
report key develop need kdn assess exercis state osun citizen improv govern better servic deliveri ejike udeogu 2019,227
risk avers beta anomali peng li  2019,228
shareopt base compens expens sharehold return financi crisi alaa alhaj ismail apr 2019,229
shariah govern islami bank bangladesh limit implic ownership chang hafij ullah 29 may 2019,230
stress test revers stress test approach resili islam financi industri samir alamad 2019,231
tax evas inform system blockchain  1 may 2019,232
dark side transpar nigeria extract industri transpar initi help hinder account corrupt control  sep 2019,233
effect corpor social respons real accrualbas earn manag evid china  sep 2019,234
hegemoni transfer price practic case chines organis junyuan chen 2019,235
impact foreign direct invest product new evid develop countri sailesh tanna sailesh tanna 1 aug 2019,236
impact trade intens market characterist asymmetr volatil spillov asymmetr spillov evid respons intern stock market us shock mohammad khaleq newaz jin suk park jin suk park feb 2019,237
islam perspect csr financi institut nigeria case jaiz bank abdurafiu noah 31 jan 2019,238
newest intellig financi decis tool fractal smart approach assess risk  1 may 2019,239
role open effect ict govern  3 jul 2019,240
pay game theoret model ransomwar  2019,241
toward sustain univers led support system msme joan lockyer lockyer  joan 14 nov 2019,242
extent public privat financ sourc affect access qualiti health care experi uganda healthcar system judith kabajulizi 30 dec 2019,243
understand financi report fraud egypt evid audit field  2 nov 2019,244
understand natur account use comprehens tool understand financi statement  4 oct 2019,245
understand timeinconsist heterogen prefer econom financ practic theori approach panos andrikopoulos panagiotis andrikopoulos nov 2019,246
vat differ approach europ gcc compar analysi  1 mar 2019,247
matter assess financi report fraud risk  5 jun 2019,248
agenc cost ownership structur corpor govern mechan ghana andrews owusu andrews owusu 2018,249
singl stock futur use altern shortsel ban  jan 2018,250
assess manag integr insight big 4 auditor egypt  1 jul 2018,251
bank size inform share financi access africa  2018,252
brexit opportun real estat firm germani ireland  2018,253
cash hold corpor invest valuat evid london stock exchang  jun 2018,254
cash hold corpor invest valuat evid london stock exchang  1 jan 2018,255
cash hold corpor invest valuat evid uk corpor invest announc  13 aug 2018,256
cash hold firm competit  1 jan 2018,257
common bias busi research  2018,258
compar complianc statu aaoifi ifsb standard empir evid islami bank bangladesh limit hafij ullah 5 jun 2018,259
compar human develop threshold absolut rel propoor mobil bank develop countri  5 feb 2018,260
compet institut logic islam financi report standardis compar studi ahmad abras 2018,261
corpor govern audit qualiti recommend beyond code salem alhababsah salem alhababsah 26 jan 2018,262
corpor govern practic jordan salem alhababsah 2018,263
determin mobil phone penetr panel threshold evid subsaharan africa  2018,264
size matter predict sme failur amir khorasgani oct 2018,265
crowd mean busi analysi rewardsbas crowdfund sourc financ startup small busi thang nguyen thang nguyen 2018,266
terrorist attack harm financi market metaanalysi event studi determin advers impact jin suk park mohammad khaleq newaz jin suk park aug 2018,267
effect asymmetr inform market time mutual fund industri  8 oct 2018,268
enhanc nurs satisfact explor specialti nurs shortag within west midland region nh england nurs manag  22 mar 2018,269
environment regul intern competit critic review abay mulatu abay mulatu 2018,270
fatal sensit factor shape british polish australian public opinion iraq war piotr lis piotr lis 28 mar 2018,271
fdi spillov effect china manufactur sector new evid forward backward linkag sailesh tanna 18 apr 2018,272
fight terror empir polici harmonis  aug 2018,273
financialis capit accumul econom develop nigeria critic perspect ejike udeogu 4 jul 2018,274
fundament analysi accord fscore method german stock market  8 may 2018,275
impact corpor govern bank financi perform isaiah oino aug 2018,276
impact regulatori capit european bank financi perform review post global financi crisi isaiah oino apr 2018,277
increas foreign aid inclus human develop africa  jul 2018,278
institut chang corpor govern divers china soe  2018,279
inform diffus threat market power financi access insight african bank industri  jun 2018,280
larg market game law one price market structur  oct 2018,281
leadership style job satisfact isaiah oino 23 jul 2018,282
learn japan eeuk mission  5 sep 2018,283
lesson survey china econom diplomaci  sep 2018,284
mobil phone institut qualiti entrepreneurship subsaharan africa  jun 2018,285
open ict entrepreneurship subsaharan africa  2018,286
phd public argument innov technolog transfer emphasi africa  3 jan 2018,287
polit regim stock market perform africa  aug 2018,288
predict unlist sme default incorpor market inform accountingbas model improv accuraci panos andrikopoulos amir khorasgani panagiotis andrikopoulos sep 2018,289
pull effect coloni legaci africa inward fdi maktoba omar 5 sep 2018,290
revisit evid earn manag prior merger announc applic benford law thai nguyen 26 dec 2018,291
risk associ payment bank mobilebas money platform hafiz ubaid ur rahman rahmani 20 nov 2018,292
selfdetermin servic perform role servic adapt open experi wei song 14 jun 2018,293
social respons invest  jan 2018,294
sukuk financi asset review sarkar kabir sarkar kabir 2018,295
sustain manag afford hous simon huston 15 nov 2018,296
tempor stabil groundwat depth contemporari yellow river delta eastern china simon huston 28 jun 2018,297
determin interest rate microfin age scale organis charter uchenna tony okeke aug 2018,298
develop account practic adopt ifr select mena countri masud ibrahim 2018,299
econom effect suppli chain manag automobil industri china hafiz ubaid ur rahman rahmani 25 nov 2018,300
impact arm conflict terror foreign aid sectorlevel analysi piotr lis piotr lis oct 2018,301
impact 200709 eurozon crise natur resourc sector beta african emerg market impact 200709 eurozon crise natur resourc sector beta african emerg market uchenna tony okeke jaliyyah ahmadu bello 1 oct 2018,302
macroeconom implic public healthcar financ comput gener equilibrium analysi uganda judith kabajulizi 15 jun 2018,303
rel import trade vers fdile econom growth thailand sailesh tanna 1 jan 2018,304
role extern debt foreign direct investmentgrowth relationship sailesh tanna glauco de vita sailesh tanna 12 oct 2018,305
role foreign direct invest less develop countri sailesh tanna 1 jan 2018,306
role seaport region employ evid south korea jin suk park jin suk park 2018,307
time prefer invest environ impact intrins motiv  1 sep 2018,308
two centuri farmland price england s  huston 2018,309
twostag deatrunc regress applic bank effici financi develop  15 apr 2018,310
uk consum perceiv risk buy product emerg economi moder mediat model wei song may 2018,311
whether shariah complianc effici matter financi perform case islami bank bangladesh limit hafij ullah 4 mar 2018,312
individu failur behaviour public sector econom  feb 2018,313
account transnat corpor develop world case enforc intern mechan  28 feb 2017,314
account analys momentum contrarian strategi emerg market sailesh tanna sailesh tanna 30 jan 2017,315
account environ account nigerian cement industri abdurafiu noah 27 jan 2017,316
account standard complex audit fee financi analyst forecast australia muhammad shahin miah 24 nov 2017,317
distanc learn univers econom impact countri peripheri case hellen open univers dimitrios serenis dimitris serenis 2017,318
aggreg disaggreg financi repress financi liber index databas china  2017,319
literatur survey propos african monetari union  jul 2017,320
extra 7 year im debt free effect poverti premium debt advic servic user nikhil sapre 2017,321
serial acquir good target acquisit account perspect saliesh tanna sailesh tanna 4 jan 2017,322
summari survey propos african monetari union  jun 2017,323
level financi develop inform share matter  2 jun 2017,324
audit firm tenur regul financi report qualiti evid uk  2017,325
belief portfolio constraint specul asset price  2017,326
bimbas deconstruct tool toward essenti function  jun 2017,327
buy friend import econom flow assembl iraq war coalit piotr lis mehtap hisarciklilar piotr lis 20 dec 2017,328
go beyond agenc concept rethink agenc theori develop countri  9 may 2017,329
central bank optim polici tool evid bank england  nov 2017,330
compar evid valu relev ifrsbas account inform germani uk  2017,331
conclus simon huston 14 sep 2017,332
construct firm competit simon huston 14 sep 2017,333
corpor govern bidder return evid china domest merger acquisit christopher muganhu 2017,334
cultur clash nation vs intern publish rami ayoubi 25 aug 2017,335
differ opinion sovereign credit signal european crisi  2017,336
discharg environment account emerg economi case nigerian cement industri abdurafiu noah 8 sep 2017,337
diversifi away risk war crossbord polit crisi  may 2017,338
csr improv financi transpar evid china  2017,339
earn manag uk merger acquisit  2017,340
econom analysi ransomwar  20 mar 2017,341
effect time tourism polici case singapor dimitrios serenis jan 2017,342
effici forc contribut threshold public good game  nov 2017,343
essenti person financ practic guid student lien luu 10 mar 2017,344
estim volatil persist brexitvot structur break  nov 2017,345
explor extern auditor percept motiv behind manag fraud egypt mix research method approach  12 dec 2017,346
fight capit flight africa evid bundl unbundl govern  sep 2017,347
financi innov bank system hous market eliana lauretta 2017,348
financ hivaid respons africa impact evid uganda judith kabajulizi judith kabajulizi 4 oct 2017,349
foreign aid inclus develop updat evid africa 20052012  mar 2017,350
fuel export aid terror  2017,351
global diffus angloamerican govern evalu respons across three emerg economi  9 may 2017,352
global inclus human develop africa  27 jun 2017,353
hedg specul pressur transit spotfutur relationship energi metal market jin suk park jin suk park 1 nov 2017,354
long uk properti cycl s h  huston 3 jul 2017,355
impact nonaudit servic regul financi report qualiti latest evid uk  2017,356
intraday herd crossbord exchang panos andrikopoulos panagiotis andrikopoulos oct 2017,357
investor sentiment toward corpor announc  17 feb 2017,358
islam financ ethic percept western consum samir alamad 13 mar 2017,359
threat foreign aid withdraw effect deterr polit oppress evid 53 african countri  8 mar 2017,360
learn econom student selfevalu skill improv  jan 2017,361
manag conflict interest profession account firm  4 oct 2017,362
megaproject screen manag king cross olymp park nine elm simon huston 14 sep 2017,363
glitter gold ict inclus human develop subsaharan africa  2017,364
ownership structur choic seo issu method uk panos andrikopoulos panagiotis andrikopoulos 2017,365
qualiti growth empir compar gap benchmark polici syndrom  2017,366
reconsid currenc union asia wei song 2017,367
risk return profil islam equiti commod portfolio differ market condit sarkar kabir sarkar kabir 2017,368
short longrun determin tourist flow case south korea dimitris  jim serenis 2017,369
smart urban plan simon huston 14 sep 2017,370
smart urban regener vision institut mechan real estat simon huston 14 sep 2017,371
special issu review behavior financ guest editor introduct panos andrikopoulos 5 jun 2017,372
stock liquid sme likelihood bankruptci evid us market mohamad nazri abd karim dec 2017,373
strateg market game ricardo  19 nov 2017,374
sukuk bond empir analysi characterist match sarkar kabir 2017,375
suppli demand side mobil payment compar analysi success mobil payment adopt develop develop countri piotr lis 2017,376
tenur spend within uk household end recent recess  sep 2017,377
effect foreign ownership chines firm earn manag accrualbas real activitybas  2017,378
impact civil war foreign direct invest flow develop countri syed mansoob murshed sailesh tanna mansoob murshed 2017,379
impact terror govern african countri  nov 2017,380
perform consequ board structur chang evid ghana andrews owusu mark holmes andrews owusu 19 dec 2017,381
stabil money demand longrun itali 18612011  may 2017,382
structur uk outbound fdi environment regul abay mulatu abay mulatu sep 2017,383
synergi financi sector develop inform share financi access proposit empir evid  apr 2017,384
welfar implic public healthcar financ macromicro simul analysi uganda judith kabajulizi judith kabajulizi dec 2017,385
welfar implic public healthcar financ macromicro simul analysi uganda judith kabajulizi judith kabajulizi 30 jun 2017,386
understand islam financi report standardis project institut logic perspect ahmad abras 2017,387
urban conundrum simon huston 14 sep 2017,388
valuat system case dubai simon huston 14 sep 2017,389
drive differ opinion sovereign rate role inform disclosur polit risk  jul 2017,390
net effect financi liber bank product decomposit analysi bank total factor product growth sailesh tanna yun luo glauco de vita yun luo sailesh tanna jul 2017,391
brief futur time monopoli scientif knowledg  dec 2016,392
examin fraud triangl model implic extern auditor audit regul  4 may 2016,393
basic mathemat economist piotr lis 22 mar 2016,394
cash flow analysi case studi  30 dec 2016,395
combat environment irrespons tnc africa empir analysi  2016,396
condit linkag iron ore export foreign aid terror  dec 2016,397
connect vehicl perform conveni safeti vers secur  1 sep 2016,398
connect vehicl perform conveni safeti versu secur  1 sep 2016,399
detect briberi guid extern auditor  apr 2016,400
econom polit implic intern financi report standard sailesh tanna tanna  s  mar 2016,401
entri strategi use south african mne fdi turbul time  2016,402
equilibrium interact borrow shortsal constraint asset price  2016,403
equilibrium interact borrow shortsal constraint asset price  2016,404
extern auditor corpor corrupt implic audit regul current issu audit journal  jun 2016,405
financi contagion us african frontier market 20072009 global financi crisi jaliyyah ahmadu bello 2016,406
financi innov bank system hous market concept financi innov enough explain bank regulatori arbitrag eliana lauretta 2016,407
financi open risk bank effici crosscountri evid yun luo sailesh tanna glauco de vita yun luo sailesh tanna jun 2016,408
handbook frontier market evid asia intern compar studi panagiotis andrikopoulos 12 aug 2016,409
